,가게링크,가게이름,가게주소,구 이름,별점
184,https://place.map.kakao.com/16559772,돈뼈락연탄갈비,서울 관악구 남부순환로 1835-26,관악구,3.8
185,https://place.map.kakao.com/1348924300,이상범스시 봉천점,서울 관악구 봉천로 407-1 1층,관악구,4.5
186,https://place.map.kakao.com/544275706,박명주브라더,서울 관악구 관악로14길 89,관악구,3.3
187,https://place.map.kakao.com/27388682,길초밥,서울 관악구 관천로 25 1층,관악구,3.2
188,https://place.map.kakao.com/16010548,토당골,서울 관악구 봉천로12길 42,관악구,4.1
189,https://place.map.kakao.com/9343715,육진정육식당 본점,서울 관악구 봉천로 397,관악구,3.8
190,https://place.map.kakao.com/1808999164,마왕족발 샤로수길점,서울 관악구 관악로16길 38 1층,관악구,3.8
191,https://place.map.kakao.com/1019484828,복돈이부추삼겹살 서울대입구점,서울 관악구 남부순환로 1846,관악구,3.4
192,https://place.map.kakao.com/20233446,혼자두면 장판뜯어서차린 개카페,서울 관악구 남부순환로 1665 3층,관악구,2.1
193,https://place.map.kakao.com/21325935,맥도날드 신림점,서울 관악구 신림로 310,관악구,2.9
194,https://place.map.kakao.com/829166362,해족단,서울 관악구 봉천로 230,관악구,3.6
195,https://place.map.kakao.com/23953128,구영회참치&초밥 신림점,서울 관악구 신원로 34,관악구,4.3
196,https://place.map.kakao.com/1589175165,홍곱창 서울대점,서울 관악구 봉천로 489,관악구,3.8
197,https://place.map.kakao.com/27178226,프랑스홍합집,서울 관악구 관악로14길 22,관악구,3.3
198,https://place.map.kakao.com/1858001641,카츠오도,서울 관악구 조원로16가길 51 1층,관악구,4.5
199,https://place.map.kakao.com/25815680,오신매운갈비찜 서울대입구점,서울 관악구 남부순환로230길 14,관악구,4.4
200,https://place.map.kakao.com/23447734,스타벅스 사당R점,"서울 관악구 남부순환로 2082-25 1,2층",관악구,3.1
201,https://place.map.kakao.com/767437197,장터참숯무한리필 신림점,서울 관악구 신림로 381,관악구,2.8
202,https://place.map.kakao.com/13025609,애슐리퀸즈 서울대입구점,서울 관악구 남부순환로 1820 라붐아울렛 9층,관악구,2.2
203,https://place.map.kakao.com/898529579,라페리체,서울 관악구 관악로14길 34 지하1층,관악구,4.0
204,https://place.map.kakao.com/9755634,명돼지갈비,서울 관악구 과천대로 931,관악구,4.1
205,https://place.map.kakao.com/1370145039,베이컨시,서울 관악구 봉천로62길 5 옥산빌딩 지하1층,관악구,4.8
206,https://place.map.kakao.com/263900245,카페보니또 사당점,서울 관악구 남부순환로 2032 1층,관악구,3.8
207,https://place.map.kakao.com/13287029,밀향기손칼국수,서울 관악구 봉천로 593 1층,관악구,3.4
208,https://place.map.kakao.com/2127422166,카페인중독 신림본점,서울 관악구 봉천로6길 40,관악구,2.7
209,https://place.map.kakao.com/2036725648,고요서울,서울 관악구 남부순환로226길 31 2층,관악구,2.5
210,https://place.map.kakao.com/356163142,고기박사 서울대점,서울 관악구 남부순환로 1874 화창빌딩 1층,관악구,3.6
211,https://place.map.kakao.com/11892494,황소곱창,서울 관악구 관악로15길 39,관악구,2.1
212,https://place.map.kakao.com/27273063,김덕후의곱창조 신림점,서울 관악구 신림동길 19,관악구,2.2
213,https://place.map.kakao.com/1048012892,만석곱창,서울 관악구 봉천로 491-1,관악구,3.3
214,https://place.map.kakao.com/16044048,동학주점,서울 관악구 대학5길 29 1층,관악구,4.6
215,https://place.map.kakao.com/1900453468,스시이치자,서울 관악구 신림동길 31 1층,관악구,4.9
216,https://place.map.kakao.com/948781290,카페프레임,서울 관악구 관악로14길 94 지하1층,관악구,4.0
217,https://place.map.kakao.com/281616880,쩐호우양꼬치&샤브샤브,서울 관악구 남부순환로 1597-15 2층,관악구,2.6
218,https://place.map.kakao.com/15615237,구로곱창,서울 관악구 조원로 9,관악구,2.1
